#id tileid ra dec program selected
145	80399	135.17	-21.66	CMX	true
146	80400	135.17	-21.66	CMX	true
147	80401	135.17	-21.66	CMX	true
148	80402	135.17	-21.66	CMX	true
149	80403	135.17	-21.66	CMX	true
150	80404	135.17	-21.66	CMX	true
151	80405	135.17	-21.66	CMX	true
152	80406	135.17	-21.66	CMX	true
153	80407	135.17	-21.66	CMX	true
154	80408	135.17	-21.66	CMX	true
155	80409	135.17	-21.66	CMX	true
156	80410	146.15	-20.26	CMX	true
157	80411	146.15	-20.26	CMX	true
158	80412	146.15	-20.26	CMX	true
159	80413	146.15	-20.26	CMX	true
160	80414	146.15	-20.26	CMX	true
161	80415	146.15	-20.26	CMX	true
162	80416	146.15	-20.26	CMX	true
163	80417	146.15	-20.26	CMX	true
164	80418	146.15	-20.26	CMX	true
165	80419	146.15	-20.26	CMX	true
166	80420	146.15	-20.26	CMX	true
167	80421	146.15	-20.26	CMX	true
168	80422	146.15	-20.26	CMX	true
169	80423	155.76	-21.84	CMX	true
170	80424	155.76	-21.84	CMX	true
171	80425	155.76	-21.84	CMX	true
172	80426	155.76	-21.84	CMX	true
173	80427	155.76	-21.84	CMX	true
174	80428	155.76	-21.84	CMX	true
175	80429	155.76	-21.84	CMX	true
176	80430	155.76	-21.84	CMX	true
177	80431	155.76	-21.84	CMX	true
178	80432	155.76	-21.84	CMX	true
179	80433	155.76	-21.84	CMX	true
180	80434	155.76	-21.84	CMX	true
181	80435	155.76	-21.84	CMX	true
182	80436	167.38	-20.21	CMX	true
183	80437	167.38	-20.21	CMX	true
184	80438	167.38	-20.21	CMX	true
185	80439	167.38	-20.21	CMX	true
186	80440	167.38	-20.21	CMX	true
187	80441	167.38	-20.21	CMX	true
188	80442	167.38	-20.21	CMX	true
189	80443	167.38	-20.21	CMX	true
190	80444	167.38	-20.21	CMX	true
191	80445	167.38	-20.21	CMX	true
192	80446	167.38	-20.21	CMX	true
193	80447	167.38	-20.21	CMX	true
194	80448	167.38	-20.21	CMX	true
195	80449	10.57	0.57	CMX	true
196	80450	10.57	0.57	CMX	true
197	80451	10.57	0.57	CMX	true
198	80452	10.57	0.57	CMX	true
199	80453	10.57	0.57	CMX	true
200	80454	10.57	0.57	CMX	true
201	80455	10.57	0.57	CMX	true
202	80456	10.57	0.57	CMX	true
203	80457	10.57	0.57	CMX	true
204	80458	10.57	0.57	CMX	true
205	80459	10.57	0.57	CMX	true
206	80460	10.57	0.57	CMX	true
207	80461	10.57	0.57	CMX	true
208	80462	29.19	0.57	CMX	true
209	80463	29.19	0.57	CMX	true
210	80464	29.19	0.57	CMX	true
211	80465	29.19	0.57	CMX	true
212	80466	29.19	0.57	CMX	true
213	80467	29.19	0.57	CMX	true
214	80468	29.19	0.57	CMX	true
215	80469	29.19	0.57	CMX	true
216	80470	29.19	0.57	CMX	true
217	80471	29.19	0.57	CMX	true
218	80472	29.19	0.57	CMX	true
219	80473	29.19	0.57	CMX	true
220	80474	29.19	0.57	CMX	true
221	80475	52.08	-0.97	CMX	true
222	80476	52.08	-0.97	CMX	true
223	80477	52.08	-0.97	CMX	true
224	80478	52.08	-0.97	CMX	true
225	80479	52.08	-0.97	CMX	true
226	80480	52.08	-0.97	CMX	true
227	80481	52.08	-0.97	CMX	true
228	80482	52.08	-0.97	CMX	true
229	80483	52.08	-0.97	CMX	true
230	80484	52.08	-0.97	CMX	true
231	80485	52.08	-0.97	CMX	true
232	80486	52.08	-0.97	CMX	true
233	80487	52.08	-0.97	CMX	true
234	80488	76.52	4.73	CMX	true
235	80489	76.52	4.73	CMX	true
236	80490	76.52	4.73	CMX	true
237	80491	76.52	4.73	CMX	true
238	80492	76.52	4.73	CMX	true
239	80493	76.52	4.73	CMX	true
240	80494	76.52	4.73	CMX	true
241	80495	76.52	4.73	CMX	true
242	80496	76.52	4.73	CMX	true
243	80497	76.52	4.73	CMX	true
244	80498	76.52	4.73	CMX	true
245	80499	76.52	4.73	CMX	true
246	80500	76.52	4.73	CMX	true
247	80501	122.84	-0.95	CMX	true
248	80502	122.84	-0.95	CMX	true
249	80503	122.84	-0.95	CMX	true
250	80504	122.84	-0.95	CMX	true
251	80505	122.84	-0.95	CMX	true
252	80506	122.84	-0.95	CMX	true
253	80507	122.84	-0.95	CMX	true
254	80508	122.84	-0.95	CMX	true
255	80509	122.84	-0.95	CMX	true
256	80510	122.84	-0.95	CMX	true
257	80511	122.84	-0.95	CMX	true
258	80512	122.84	-0.95	CMX	true
259	80513	122.84	-0.95	CMX	true
260	80514	139	0.57	CMX	true
261	80515	139	0.57	CMX	true
262	80516	139	0.57	CMX	true
263	80517	139	0.57	CMX	true
264	80518	139	0.57	CMX	true
265	80519	139	0.57	CMX	true
266	80520	139	0.57	CMX	true
267	80521	139	0.57	CMX	true
268	80522	139	0.57	CMX	true
269	80523	139	0.57	CMX	true
270	80524	139	0.57	CMX	true
271	80525	139	0.57	CMX	true
272	80526	139	0.57	CMX	true
273	80527	161.05	0.57	CMX	true
274	80528	161.05	0.57	CMX	true
275	80529	161.05	0.57	CMX	true
276	80530	161.05	0.57	CMX	true
277	80531	161.05	0.57	CMX	true
278	80532	161.05	0.57	CMX	true
279	80533	161.05	0.57	CMX	true
280	80534	161.05	0.57	CMX	true
281	80535	161.05	0.57	CMX	true
282	80536	161.05	0.57	CMX	true
283	80537	161.05	0.57	CMX	true
284	80538	161.05	0.57	CMX	true
285	80539	161.05	0.57	CMX	true
286	80540	187.89	0.57	CMX	true
287	80541	187.89	0.57	CMX	true
288	80542	187.89	0.57	CMX	true
289	80543	187.89	0.57	CMX	true
290	80544	187.89	0.57	CMX	true
291	80545	187.89	0.57	CMX	true
292	80546	187.89	0.57	CMX	true
293	80547	187.89	0.57	CMX	true
294	80548	187.89	0.57	CMX	true
295	80549	187.89	0.57	CMX	true
296	80550	187.89	0.57	CMX	true
297	80551	187.89	0.57	CMX	true
298	80552	187.89	0.57	CMX	true
299	80553	39.24	78.09	CMX	true
300	80554	39.24	78.09	CMX	true
301	80555	39.24	78.09	CMX	true
302	80556	39.24	78.09	CMX	true
303	80557	39.24	78.09	CMX	true
304	80558	39.24	78.09	CMX	true
305	80559	39.24	78.09	CMX	true
306	80560	39.24	78.09	CMX	true
307	80561	39.24	78.09	CMX	true
